user_id,product_id,rating
KH9136,M0000263,5
KH0056,M0000263,4
KH2805,M0000263,5
KH4237,M0000263,5
KH4539,M0000263,5
KH5660,M0000263,5
KH5046,M0000263,5
KH1859,M0000444,5
KH8293,M0000444,5
KH0367,M0000405,5
KH0243,M0000405,5
KH5808,M0000405,5
KH4997,M0000405,5
KH5287,M0000405,5
KH3768,M0000405,5
KH6061,M0000405,4
KH2432,M0000405,5
KH0052,M0000405,5
KH3737,M0000405,5
KH3272,M0000405,5
KH3705,M0000405,5
KH1319,M0000405,5
KH8578,M0000405,5
KH4167,M0000405,5
KH1448,M0000405,5
KH7614,M0000405,5
KH8095,M0000405,5
KH8981,M0000395,4
KH6381,M0000395,5
KH8981,M0000342,4
KH5335,M0000342,5
KH6066,M0000342,5
KH4909,M0000342,1
KH7483,M0000342,5
KH6926,M0000342,1
KH8520,M0000342,5
KH1702,M0000342,5
KH5885,M0000342,5
KH0890,M0000342,5
KH4373,M0000342,5
KH8524,M0000342,5
KH7867,M0000342,5
KH1898,M0000333,2
KH3089,M0000333,5
KH9023,M0000333,4
KH7944,M0000333,5
KH7501,M0000333,5
KH1291,M0000333,4
KH6433,M0000333,5
KH0948,M0000333,1
KH7483,M0000333,5
KH7538,M0000333,5
KH7737,M0000333,5
KH7798,M0000333,5
KH7804,M0000333,5
KH7928,M0000333,5
KH4991,M0000333,5
KH7908,M0000333,5
KH7611,M0000333,5
KH7867,M0000333,5
KH7835,M0000333,5
KH8319,M0000333,3
KH5433,M0000333,5
KH8359,M0000333,5
KH7535,M0000333,5
KH2124,M0000333,4
KH7892,M0000333,5
KH7478,M0000333,5
KH7805,M0000333,5
KH7615,M0000333,5
KH2640,M0000333,5
KH7963,M0000333,5
KH7822,M0000333,5
KH7703,M0000333,5
KH8934,M0000333,4
KH7964,M0000333,5
KH6539,M0000333,1
KH8678,M0000333,5
KH4262,M0000333,5
KH8551,M0000333,5
KH7957,M0000333,5
KH7965,M0000333,5
KH7891,M0000333,5
KH0569,M0000333,5
KH8508,M0000333,5
KH8435,M0000333,4
KH8808,M0000333,5
KH5917,M0000333,5
KH6567,M0000333,5
KH8057,M0000333,4
KH4976,M0000333,4
KH8521,M0000333,5
KH7702,M0000333,5
KH4085,M0000333,5
KH7927,M0000333,5
KH2332,M0000333,5
KH6785,M0000333,3
KH8486,M0000333,5
KH3079,M0000333,4
KH7136,M0000333,4
KH6272,M0000260,5
KH2605,M0000260,4
KH4728,M0000260,5
KH0182,M0000260,5
KH1418,M0000260,5
KH4747,M0000260,5
KH0477,M0000260,5
KH8196,M0000260,1
KH3349,M0000260,5
KH5550,M0000260,5
KH8327,M0000260,5
KH6961,M0000260,4
KH6242,M0000260,4
KH6940,M0000260,5
KH6058,M0000260,5
KH0773,M0000260,5
KH4711,M0000260,5
KH8433,M0000260,5
KH6320,M0000260,4
KH7614,M0000260,5
KH8688,M0000260,5
KH0197,M0000260,5
KH1448,M0000260,5
KH2607,M0000260,5
KH7879,M0000260,5
KH6556,M0000260,4
KH6298,M0000260,5
KH3380,M0000260,5
KH7859,M0000260,5
KH3259,M0000217,5
KH8715,M0000217,3
KH2864,M0000217,5
KH3466,M0000217,5
KH7087,M0000217,5
KH8595,M0000217,5
KH0408,M0000217,4
KH5567,M0000217,5
KH2151,M0000217,4
KH1709,M0000217,5
KH5788,M0000217,5
KH1096,M0000217,4
KH2028,M0000217,5
KH5131,M0000217,4
KH3490,M0000217,5
KH4416,M0000217,5
KH6792,M0000212,5
KH3399,M0000212,4
KH8807,M0000212,4
KH1957,M0000212,5
KH4071,M0000212,4
KH5108,M0000212,1
KH7050,M0000212,5
KH5663,M0000212,4
KH4562,M0000212,5
KH6428,M0000212,4
KH4685,M0000212,5
KH7644,M0000212,5
KH6391,M0000212,5
KH3269,M0000212,4
KH6130,M0000212,5
KH1431,M0000195,5
KH7870,M0000195,1
KH7050,M0000195,5
KH5108,M0000195,1
KH8040,M0000195,5
KH6831,M0000195,4
KH0574,M0000195,5
KH7058,M0000195,4
KH0497,M0000195,5
KH2651,M0000195,4
KH4375,M0000195,5
KH5066,M0000195,4
KH2158,M0000195,4
KH5782,M0000195,4
KH0477,M0000129,5
KH1221,M0000129,5
KH0563,M0000129,4
KH1260,M0000129,4
KH6593,M0000129,5
KH5791,M0000129,4
KH7949,M0000129,5
KH6819,M0000129,1
KH6376,M0000129,5
KH6119,M0000129,5
KH7859,M0000129,5
KH4296,M0000129,5
KH2678,M0000129,5
KH4663,M0000129,4
KH6656,M0000129,5
